timesteps,episode_reward,episode_length
34062,142.571012,56
34118,125.188655,56
34174,116.545324,56
34230,133.297558,56
34286,128.706361,56
34342,115.503539,56
34398,123.513577,56
34454,111.928952,56
34510,133.329049,56
34566,122.044191,56
34622,129.554402,56
34678,128.018,56
34734,117.164714,56
34790,99.473372,56
34846,130.505029,56
34902,129.061232,56
34958,128.821617,56
35014,120.373839,56
35070,127.960546,56
35126,120.899175,56
35182,122.921233,56
35238,132.662202,56
35294,112.639312,56
35350,133.494764,56
35406,137.814995,56
35462,123.53464,56
35516,120.63186,54
35572,91.825826,56
35628,136.983379,56
35684,126.810985,56
35740,130.182372,56
35796,128.133328,56
35852,113.278248,56
35908,117.454477,56
35964,112.799952,56
36020,131.123985,56
36076,136.923565,56
36130,131.089137,54
36186,114.398933,56
36239,124.662637,53
36295,115.742084,56
36351,126.571082,56
36407,129.775581,56
36463,110.488176,56
36519,113.505041,56
36575,123.269841,56
36631,117.769794,56
36687,116.150479,56
36743,119.927222,56
36799,100.433483,56
36855,94.884731,56
36911,138.676353,56
36967,121.800817,56
37023,106.227849,56
37079,132.539147,56
37135,115.295179,56
37190,129.247475,55
37246,130.389251,56
37302,94.158508,56
37358,135.633681,56
37414,127.461176,56
37470,107.471564,56
37526,120.340446,56
37582,123.729381,56
37638,127.332169,56
37694,119.797769,56
37750,91.552312,56
37806,115.093785,56
37862,124.858455,56
37918,123.814202,56
37974,135.903138,56
38030,130.738467,56
38086,120.893912,56
38142,118.394267,56
38198,118.077996,56
38254,131.340414,56
38310,140.063821,56
38366,123.672912,56
38422,115.901855,56
38478,125.807171,56
38534,133.49444,56
38590,128.861471,56
38645,130.04931,55
38701,128.467981,56
38757,126.622926,56
38813,139.277195,56
38865,123.814295,52
38921,115.890329,56
38977,121.24845,56
39033,87.046037,56
39088,123.883324,55
39144,123.847107,56
39200,116.758672,56
39256,103.585866,56
39312,135.327233,56
39368,119.154946,56
39423,108.481112,55
39479,108.421502,56
39535,115.093953,56
39591,135.560126,56
39647,119.576575,56
39703,121.109689,56
39759,128.314235,56
39815,132.34973,56
39870,122.865944,55
39926,111.758943,56
39979,114.439054,53
40035,120.631325,56
40091,128.626882,56
40147,123.543742,56
40203,128.757787,56
40253,111.483479,50
40309,114.764242,56
40365,126.639889,56
40421,118.554273,56
40477,127.645674,56
40533,104.806553,56
40589,133.999497,56
40642,123.004196,53
40698,127.202707,56
40754,133.98005,56
40810,90.866809,56
40860,117.744097,50
40916,137.741038,56
40972,129.566445,56
41028,126.458442,56
41084,73.43021,56
41140,118.753473,56
41196,101.676138,56
41252,122.510357,56
41308,127.670468,56
41364,135.737722,56
41420,124.015707,56
41476,126.378977,56
41532,128.352671,56
41588,133.476989,56
41644,127.199419,56
41700,128.241096,56
41756,131.266827,56
41812,135.11224,56
41868,130.764605,56
41924,134.196846,56
41979,125.551497,55
42035,107.444918,56
42091,89.785983,56
42147,131.75433,56
42203,118.259453,56
42259,104.980764,56
42315,121.203242,56
42368,127.404919,53
42424,134.688948,56
42480,130.229209,56
42536,113.025319,56
42592,114.33347,56
42647,138.797581,55
42703,125.218076,56
42759,115.159292,56
42815,107.235975,56
42871,134.691441,56
42927,92.32447,56
42983,127.755635,56
43033,110.93225,50
43089,136.422393,56
43145,113.850615,56
43201,116.6667,56
43257,130.622101,56
43313,132.148944,56
43369,132.810184,56
43425,125.617245,56
43481,108.005145,56
43537,127.703979,56
43593,133.603524,56
43649,123.875042,56
43705,111.459201,56
43761,116.105454,56
43817,130.98035,56
43873,111.072418,56
43929,119.258154,56
43985,127.255376,56
44041,100.429608,56
44097,123.640685,56
44153,119.539865,56
44209,129.305052,56
44265,118.9077,56
44319,115.138607,54
44375,128.434352,56
44431,118.140903,56
44487,107.736316,56
44543,101.204695,56
44599,110.252977,56
44655,84.603086,56
44711,122.383198,56
44767,136.243911,56
44818,120.872776,51
44874,126.868379,56
44930,101.552371,56
44986,134.286805,56
45042,123.137848,56
45098,131.074185,56
45154,126.691847,56
45207,107.443667,53
45263,120.340177,56
45319,110.59004,56
45375,101.672796,56
45431,131.256557,56
45487,118.272085,56
45543,108.535215,56
45599,75.872266,56
45655,119.015495,56
45711,91.710567,56
45767,136.988704,56
45823,123.369628,56
45879,127.216517,56
45935,104.823233,56
45991,124.979701,56
46047,114.106542,56
46103,132.163537,56
46159,118.224055,56
46215,125.760683,56
46271,122.293467,56
46327,112.934231,56
46383,134.572011,56
46439,127.028123,56
46495,106.488642,56
46551,119.625756,56
46607,128.828223,56
46663,122.952117,56
46719,87.219655,56
46775,120.774505,56
46831,132.78465,56
46887,137.241754,56
46943,128.06932,56
46999,119.547214,56
47055,123.360755,56
47111,121.419248,56
47167,133.750491,56
47223,138.874025,56
47279,121.072306,56
47335,141.165277,56
47391,125.79023,56
